hatchlingsEventId,eventType,species,eventDate,eventCount,eventCounty,organizationId
fae25ca8-c289-4e39-9531-47c20333e47d,Acquired,CC,2008-07-09,2,Brevard,b225dd24-1d37-4252-b989-e342a690968b
31ea96c0-c09b-44d8-ae87-5c5d622fff0d,Acquired,CC,2008-07-15,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
f2dfab0a-14a7-481c-8f7c-18a70e178b87,Acquired,CC,2008-07-16,2,Brevard,b225dd24-1d37-4252-b989-e342a690968b
aed6b2f5-5b9a-4b01-a837-d350db8817c5,Acquired,CC,2008-07-20,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
adf2401b-ffd8-424d-9ce9-1158b205a1ce,Acquired,CC,2008-07-21,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
67c2eb36-e6f0-4e55-bfe9-a4dc7c77e7b1,Acquired,CC,2008-07-23,1,Brevard,b225dd24-1d37-4252-b989-e342a690968b
0242467f-76c4-4829-abad-2c575522f612,Acquired,CC,2008-07-25,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
3d444b62-2e26-47ff-bfbb-1ee261bc6a95,Acquired,CC,2008-07-27,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
a53b8ada-58ea-4cda-8b4b-201bca7c1968,Acquired,CC,2008-07-27,1,St. Johns,b225dd24-1d37-4252-b989-e342a690968b
6f1be038-bfcd-4ce9-9c82-3c99c115b4d9,Acquired,CC,2008-07-28,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
fbcec147-3cdb-4266-a749-168cdbb0c780,Acquired,CC,2008-07-29,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
d52de4f3-1b59-49f7-b631-7b4b553d5295,Acquired,CC,2008-07-29,1,Brevard,b225dd24-1d37-4252-b989-e342a690968b
8c935366-9b9c-4f23-8287-f599d0819c6b,Acquired,CC,2008-08-02,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
a746620f-db85-498f-91da-0a01c519b579,Acquired,CC,2008-08-03,2,Volusia,b225dd24-1d37-4252-b989-e342a690968b
ad3d6a7d-06bc-4624-9f1d-cd4308cddad5,Acquired,CC,2008-08-04,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
37256952-d34e-4fcd-ba10-ac6df4a51d92,Acquired,CC,2008-08-07,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
d0e6980b-213a-4cec-8e01-19be614797ca,Acquired,CC,2008-08-08,5,Volusia,b225dd24-1d37-4252-b989-e342a690968b
59936bdb-0b11-43d2-bbbd-0926733a7258,Acquired,CC,2008-08-10,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
9ad09928-5f14-4dd9-afd3-7a9120aaf6c3,Acquired,CC,2008-08-12,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
74555086-10de-4f8e-a930-7c04aa5b7694,Acquired,CC,2008-08-13,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
3e4d053f-7e09-4c51-9d22-81a528927fb3,Acquired,CC,2008-08-15,2,Volusia,b225dd24-1d37-4252-b989-e342a690968b
a7ca9d66-1bf9-49e1-9a33-cb5d18486488,Acquired,CC,2008-08-20,3,Volusia,b225dd24-1d37-4252-b989-e342a690968b
ec470744-5e07-4e3f-9ba2-f67292563455,Acquired,CC,2008-08-21,2,Volusia,b225dd24-1d37-4252-b989-e342a690968b
fcb4cc45-2981-487d-a9ae-7bb39104b066,Acquired,CM,2008-08-22,5,Brevard,b225dd24-1d37-4252-b989-e342a690968b
a6a49fc5-eb75-4902-abbf-f3194c07e666,Acquired,CC,2008-08-22,430,Brevard,b225dd24-1d37-4252-b989-e342a690968b
7afc0fe2-2bd5-47e7-b875-eecb20fb3fe1,Acquired,CC,2008-08-23,2,Brevard,b225dd24-1d37-4252-b989-e342a690968b
f2808c0f-6484-486f-8be8-7f7044570e2b,Acquired,CC,2008-08-24,2,Brevard,b225dd24-1d37-4252-b989-e342a690968b
b3130739-434d-4655-a25f-021fa77382f0,Acquired,CC,2008-08-24,5,Volusia,b225dd24-1d37-4252-b989-e342a690968b
e12084d6-851c-48c2-85a9-ad29db5d4f9e,Acquired,CC,2008-08-26,2,Brevard,b225dd24-1d37-4252-b989-e342a690968b
17cc8760-f5f4-4b5b-90ac-cad9edf7a9db,Acquired,CC,2008-08-26,3,Volusia,b225dd24-1d37-4252-b989-e342a690968b
1cae982a-dff1-4ac1-b019-f5c63e9a8cce,Acquired,CM,2008-08-28,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
b5ef74e6-b47c-4e48-8962-883b0ab9b927,Acquired,CC,2008-08-29,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
f448f0b4-6be4-49f0-8416-df7541918986,Acquired,CC,2008-08-30,2,Flagler,b225dd24-1d37-4252-b989-e342a690968b
3de5f689-c5f6-406e-8e65-7c57a2457654,Acquired,CC,2008-08-30,2,Volusia,b225dd24-1d37-4252-b989-e342a690968b
f9b013ce-c889-4a6a-8ba2-a0339de226df,Acquired,CC,2008-08-31,5,Volusia,b225dd24-1d37-4252-b989-e342a690968b
5862ee3d-f2d5-4f1f-8916-98d56ea71079,Acquired,CC,2008-09-01,1,St. Johns,b225dd24-1d37-4252-b989-e342a690968b
933d25f0-7767-4c1a-aebe-665a334d4103,Acquired,CC,2008-09-02,4,Volusia,b225dd24-1d37-4252-b989-e342a690968b
33e03f20-e564-431c-89e2-1308c74ce2fc,Acquired,CC,2008-09-03,113,Brevard,b225dd24-1d37-4252-b989-e342a690968b
ecc050de-9015-4898-b819-acf706c71154,Acquired,CC,2008-09-03,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
edb6d29b-12ea-4cbf-8ab7-c5a5164d39a8,Acquired,CC,2008-09-04,20,Brevard,b225dd24-1d37-4252-b989-e342a690968b
b868b675-d2a0-4aef-97a4-1005c1069754,Acquired,CC,2008-09-04,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
284d04ee-1257-4208-b95d-a48afe2ab32a,Acquired,CC,2008-09-04,4,St. Johns,b225dd24-1d37-4252-b989-e342a690968b
99f1f99f-5a0a-4af5-8961-9bf13a0973e0,Acquired,CC,2008-09-05,94,Volusia,b225dd24-1d37-4252-b989-e342a690968b
4a426d68-6860-44ea-bb5c-07508a557b51,Acquired,CC,2008-09-06,2,Volusia,b225dd24-1d37-4252-b989-e342a690968b
dd105314-1521-4b9d-bebc-54a8ab5e22bf,Acquired,CC,2008-09-07,10,Volusia,b225dd24-1d37-4252-b989-e342a690968b
95f8fde4-f2a3-4933-ae6c-a89be7677dcc,Acquired,CC,2008-09-09,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
3f547b54-2ba7-4f5b-aae8-9a2fab60b738,Acquired,CC,2008-09-09,2,Brevard,b225dd24-1d37-4252-b989-e342a690968b
88b2ee2a-f479-4bbf-b098-75c33f99c36b,Acquired,CM,2008-09-10,3,Brevard,b225dd24-1d37-4252-b989-e342a690968b
58122686-7dc8-41ca-bbcc-0373231a8e7b,Acquired,CC,2008-09-10,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
2a95c33e-ff90-4f3a-b1bc-c56da7774bc7,Acquired,CC,2008-09-11,3,Volusia,b225dd24-1d37-4252-b989-e342a690968b
afb8a9f9-f397-434b-b64e-817b64f0d3ae,Acquired,CM,2008-09-11,6,Brevard,b225dd24-1d37-4252-b989-e342a690968b
7db36b29-30cc-4905-8043-f45c5c37efb3,Acquired,CC,2008-09-11,3,Brevard,b225dd24-1d37-4252-b989-e342a690968b
af0d89ce-970b-4442-b9f0-1166198e167c,Acquired,CC,2008-09-14,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
a3f90f9b-841e-440c-b45b-d9f797cdddbe,Acquired,CC,2008-09-19,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
29a19f3c-fe6d-4c61-bd45-e3d62fec8ac7,Acquired,CC,2008-09-20,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
105193ce-d279-4b18-96d3-3c584170ebf4,Acquired,CM,2008-09-22,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
5c8443fb-5ca3-44fd-a73d-c2b8e591341c,Acquired,CC,2008-09-23,3,Volusia,b225dd24-1d37-4252-b989-e342a690968b
dcbfd11f-67e1-4e9d-9959-bcd856f8da08,Acquired,CM,2008-09-24,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
7c66f744-c8f5-4a8d-8b3a-796be714badc,Acquired,CC,2008-09-25,2,Volusia,b225dd24-1d37-4252-b989-e342a690968b
20b5d308-283e-479f-8770-752e851c1224,Acquired,CC,2008-09-27,3,Volusia,b225dd24-1d37-4252-b989-e342a690968b
4f027e65-e1af-4307-8d97-afa91183c5e2,Acquired,CC,2008-10-01,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
3a97a8c2-c313-4bde-9314-c67b11526947,Acquired,CC,2008-10-03,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
d36c97af-68fb-456b-b0af-7bb2bbe35ade,Acquired,CC,2008-10-06,3,Volusia,b225dd24-1d37-4252-b989-e342a690968b
2f6f924f-52d6-4446-b412-c110d3af5419,Acquired,CC,2008-10-08,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
c89885dc-9287-473d-9fdb-991840619785,Acquired,CC,2008-10-09,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
02740df7-c1f7-4bc4-935c-cb71d8d63e81,Acquired,CM,2008-10-09,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
d948c910-7a76-46fd-8475-98f61af91b51,Acquired,CC,2008-10-10,36,Volusia,b225dd24-1d37-4252-b989-e342a690968b
bdbcd8fa-1c51-4332-b9da-12fc7f1dddb8,Acquired,CM,2008-10-10,1,Brevard,b225dd24-1d37-4252-b989-e342a690968b
8cd987a3-4b5c-4ed6-b009-c925d01120e7,Acquired,CC,2008-10-12,7,Volusia,b225dd24-1d37-4252-b989-e342a690968b
33c8d736-6d77-467f-bb84-42330c0236ed,Acquired,CC,2008-10-13,3,Volusia,b225dd24-1d37-4252-b989-e342a690968b
b6dfbe3a-262a-43d9-91ff-4d4e511368bb,Acquired,CC,2008-10-15,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
062832ed-91cf-413b-855c-746033e0134f,Acquired,CC,2008-10-15,2,Brevard,b225dd24-1d37-4252-b989-e342a690968b
48950375-874a-46c5-af34-48705c787f85,Acquired,CC,2008-10-17,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
aa712fe7-e9d2-43f8-b7b6-c67f0a715f3e,Acquired,CC,2008-10-19,2,Volusia,b225dd24-1d37-4252-b989-e342a690968b
067372d6-9a68-4503-b6ba-7186b1313f23,Acquired,CM,2008-10-20,2,Volusia,b225dd24-1d37-4252-b989-e342a690968b
9102afd4-7b1b-4df6-b89f-948502902d0f,Acquired,CM,2008-10-22,1,Brevard,b225dd24-1d37-4252-b989-e342a690968b
9c526299-cd69-4e2a-8f6d-0f7ffe353c8e,Acquired,CC,2008-10-23,4,Volusia,b225dd24-1d37-4252-b989-e342a690968b
b1471772-97b6-4c4e-b351-2d0247bac82a,Acquired,CC,2008-10-24,7,Volusia,b225dd24-1d37-4252-b989-e342a690968b
e9af781b-ecd7-47b1-9135-bc3983c9e281,Acquired,CC,2008-10-25,2,St. Johns,b225dd24-1d37-4252-b989-e342a690968b
a57c5b98-3a3b-4edb-8cbc-4d2b6a393e32,Acquired,CM,2008-10-25,2,Brevard,b225dd24-1d37-4252-b989-e342a690968b
061b991b-774a-4992-acce-1778c7936cc3,Acquired,CC,2008-10-25,2,Brevard,b225dd24-1d37-4252-b989-e342a690968b
5192d168-3206-42a7-aebc-773e5427feaa,Acquired,CC,2008-10-27,3,Volusia,b225dd24-1d37-4252-b989-e342a690968b
4b278abb-3f62-4ba5-99d6-1097c10f094d,Acquired,CC,2008-10-28,1,Brevard,b225dd24-1d37-4252-b989-e342a690968b
2f670160-57f8-4b68-9a25-a6352ff9d3bb,Acquired,CM,2008-10-28,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
746a4380-ba5c-4da2-9176-45a407245238,Acquired,CC,2008-10-28,1,Volusia,b225dd24-1d37-4252-b989-e342a690968b
ce576c6b-fdb3-46f2-bb45-7a6a6439a26e,Acquired,CC,2008-10-28,1,Brevard,b225dd24-1d37-4252-b989-e342a690968b
4cb71ca2-e58b-4763-9b86-029093fa5736,Acquired,CM,2008-10-28,1,Brevard,b225dd24-1d37-4252-b989-e342a690968b
4e9a819d-e515-44b9-83ce-8cd3115abe9b,Acquired,CC,2008-10-29,2,Volusia,b225dd24-1d37-4252-b989-e342a690968b
b454f197-b69f-4355-9e35-e4c8b31c2e1a,Acquired,CC,2008-10-30,3,Flagler,b225dd24-1d37-4252-b989-e342a690968b
c7638b34-a04d-4bc2-9f3c-d79dfacfc1ab,Acquired,CC,2008-10-31,5,Volusia,b225dd24-1d37-4252-b989-e342a690968b
9004b083-5495-483b-80a2-1ceb4de60d85,Acquired,CC,2008-11-03,3,Volusia,b225dd24-1d37-4252-b989-e342a690968b
0ebe4733-d140-4df7-a4fb-c0d11ba38ae9,Acquired,CC,2008-11-03,5,Volusia,b225dd24-1d37-4252-b989-e342a690968b
cd8d2b73-15f2-4b64-90af-d8513fdc9ddd,Acquired,CC,2008-11-08,2,Volusia,b225dd24-1d37-4252-b989-e342a690968b
a23abfad-a132-492b-bee4-3aabd7b673c3,Acquired,CM,2008-11-11,40,Flagler,b225dd24-1d37-4252-b989-e342a690968b
95bd8f26-2ed1-4fd4-bb99-7d4810d14763,Acquired,CM,2008-11-11,3,Flagler,b225dd24-1d37-4252-b989-e342a690968b
6980a60f-e09f-4f23-9fb1-bab4ccebff7f,Acquired,CM,2008-11-11,1,Brevard,b225dd24-1d37-4252-b989-e342a690968b
0e1cbb0e-1118-4a96-843a-5d098767cfda,Acquired,CM,2008-11-15,2,Volusia,b225dd24-1d37-4252-b989-e342a690968b
